campaign_name,campaign_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur,ctr_pct,roas
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,24.4,1446,46,3.181189,0.530435,2023-07-27,2025-03-18,,23.424,3.18118948824343,0
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,23.83,1657,24,1.448401,0.992917,2023-07-27,2025-03-18,,22.876799999999996,1.448400724200362,0
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,28.17,1070,29,2.71028,0.971379,2023-07-27,2025-03-18,,27.043200000000002,2.710280373831776,0
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,27.82,1712,236,13.785047,0.117881,2023-07-27,2025-03-18,,26.7072,13.785046728971961,0
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,15.81,1283,29,2.260327,0.545172,2023-07-27,2025-03-18,,15.1776,2.260327357755261,0
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,15.5,739,20,2.70636,0.775,2023-07-27,2025-03-18,,14.879999999999999,2.706359945872801,0
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,29.71,1661,172,10.355208,0.172733,2023-07-27,2025-03-18,,28.5216,10.355207706201083,0
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,38.55,2384,334,14.010067,0.115419,2023-07-27,2025-03-18,,37.007999999999996,14.01006711409396,0
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,39.26,2386,357,14.96228,0.109972,2023-07-27,2025-03-18,,37.6896,14.962279966471081,0
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,114.81,7442,931,12.510078,0.123319,2023-07-27,2025-03-18,,110.2176,12.5100779360387,0
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,34.36,2591,116,4.477036,0.296207,2023-07-27,2025-03-18,,32.9856,4.477035893477422,0
1 JANUARY - Warm Knitted Sweater - 1.54 - SINGLE PRODUCT,120214602476410719,51.42,3030,215,7.09571,0.239163,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '1.002528'}]",49.3632,7.095709570957095,0
1 JANUARY - Cashmere and Wool Patchwork Print Sweater - 1.49 - SINGLE PRODUCT,120214602924660719,51.49,3923,83,2.115728,0.620361,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.800738'}]",49.4304,2.1157277593678305,0
1 JANUARY - Cozy Graphic Sweater - 1.59 - SINGLE PRODUCT,120214602980200719,52.28,5763,112,1.943432,0.466786,2023-07-27,2025-03-18,,50.1888,1.9434322401526982,0
1 JANUARY - Soft Fur-lined Slippers - 1.55 - SINGLE PRODUCT,120214603039950719,53.14,4648,157,3.377797,0.338471,2023-07-27,2025-03-18,,51.0144,3.377796901893287,0
2 JANUARY - Women's Leather Ankle Boots - 1.56 - SINGLE PRODUCT,120214603169430719,39.61,2070,99,4.782609,0.400101,2023-07-27,2025-03-18,,38.0256,4.782608695652174,0
"2 JANUARY - Comfortable, Waterproof Cargo Pants - 1.56 - SINGLE PRODUCT",120214603283280719,39.71,1626,47,2.890529,0.844894,2023-07-27,2025-03-18,,38.1216,2.890528905289053,0
2 JANUARY - Elegant Classic Wool Winter coat - 1.58 - SINGLE PRODUCT,120214603333050719,49.57,3942,77,1.953323,0.643766,2023-07-27,2025-03-18,,47.587199999999996,1.9533231861998983,0
2 JANUARY - Cherry Print Oversized Jacket - 1.53 - SINGLE PRODUCT,120214603397510719,50.71,3295,84,2.549317,0.60369,2023-07-27,2025-03-18,,48.681599999999996,2.549317147192716,0
