id,name,objective,status,start_time,budget_remaining,original_name,is_collection,is_single_product,collection_code,campaign_date
120217570177060719,2 MARCH-  C28 ADS Collection (February 24) - COLLECTION -  RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-02T05:00:34+0000,10133,2 MARCH-  C28 ADS Collection (February 24) - COLLECTION -  RELAUNCH,True,False,C28,2 MARCH
120217570177050719,2 MARCH - C27 ADS Collection (February 24) - COLLECTION -  RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-02T05:00:34+0000,10133,2 MARCH - C27 ADS Collection (February 24) - COLLECTION -  RELAUNCH,True,False,C27,2 MARCH
120217570177040719,2 MARCH - C26 ADS Collection (February 20) - COLLECTION - RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-02T05:00:34+0000,10133,2 MARCH - C26 ADS Collection (February 20) - COLLECTION - RELAUNCH,True,False,C26,2 MARCH
120217543254320719,1 MARCH - C29 ADS Collection (February 26) - COLLECTION,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,10133,1 MARCH - C29 ADS Collection (February 26) - COLLECTION,True,False,C29,1 MARCH
120217543104620719,1 MARCH - Bi-color Classic Polo shirt - 1.64 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,5133,1 MARCH - Bi-color Classic Polo shirt - 1.64 - SINGLE PRODUCT,False,True,,1 MARCH
120217542457570719,1 MARCH - Vintage Stripe and Letter Printed Button-down Jacket - 1.53 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,5133,1 MARCH - Vintage Stripe and Letter Printed Button-down Jacket - 1.53 - SINGLE PRODUCT,False,True,,1 MARCH
120217542195000719,1 MARCH - Elegant and Comfortable Turtleneck Sweater - 1.57 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,5133,1 MARCH - Elegant and Comfortable Turtleneck Sweater - 1.57 - SINGLE PRODUCT,False,True,,1 MARCH
120217541984610719,1 MARCH - Elegant Long Sleeved Dress - 1.55 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,5133,1 MARCH - Elegant Long Sleeved Dress - 1.55 - SINGLE PRODUCT,False,True,,1 MARCH
120217541652500719,1 MARCH - Hooded Parka with Circular Quilting - 1.55 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-01T05:00:00+0000,5133,1 MARCH - Hooded Parka with Circular Quilting - 1.55 - SINGLE PRODUCT,False,True,,1 MARCH
120217527760990719,2 MARCH - Short Button-down Wool Coat  - 1.51 - SINGLE PRODUCT -  RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-02T05:00:00+0000,5133,2 MARCH - Short Button-down Wool Coat  - 1.51 - SINGLE PRODUCT -  RELAUNCH,False,True,,2 MARCH
120217281829030719,28 FEBRUARY - Classic Floral Button-down Shirt - 1.54 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-02-28T05:00:00+0000,5133,28 FEBRUARY - Classic Floral Button-down Shirt - 1.54 - SINGLE PRODUCT,False,True,,28 FEBRUARY
120217281104970719,28 FEBRUARY -  Elegant Single-button Wool Coat - 1.54 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-02-28T05:00:00+0000,5133,28 FEBRUARY -  Elegant Single-button Wool Coat - 1.54 - SINGLE PRODUCT,False,True,,28 FEBRUARY
120217279961370719,28 FEBRUARY - Trendy Fashionable Art Printed Shirt  - 1.47 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-02-28T05:00:00+0000,5133,28 FEBRUARY - Trendy Fashionable Art Printed Shirt  - 1.47 - SINGLE PRODUCT,False,True,,28 FEBRUARY
