,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%)
11 FEBRUARY- C19 ADS (Feb 07)- COLLECTION,"['Bomber Jacket', 'Winter Zip-up Parka Jacket', ""Men's Winter Coat with Hood and Fleece"", 'Stylish Hooded Windbreaker Jacket', 'Flannel Jacket', 'Winter Tactical Jacket', 'Men Casual Slim Fit Turtleneck Sweater', 'Zip-Up Tribal Pattern Neck Sweater', 'Bonanza Leather Jacket', 'Vintage Coat', 'Winter Turtleneck Sweater', 'Stand Collar Quilted Winter Jacket', ""Classic Men's Trench Coat"", 'Zip Up Cable Sweater', 'Elegant Winter Jacket', 'Shiny Winter Down Jacket', 'Slim Fit Long-Sleeve Sweater', 'Classic Fur-lined Leather Jacket', 'Gentleman Button-down Cardigan', 'Soft Cashmere Zip-up Jacket', 'High Neck Zip-up Jacket']",https://dd3662-08.myshopify.com/collections/c19-ads-collection-february-07,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,119.9,2,59.95,47.96000000000001,71.94,42.589999999999996,145.11073253833047,4.085178875638841,0.0,0,119.9,2,59.95,47.96000000000001,71.94,42.589999999999996,145.11073253833047,4.085178875638841,29.35,2890,61,2.110726643598616,3.278688524590164,100.0,0.0,14.675,60.0,60.0
11  FEBRUARY - Steel Toe Safety Shoes - 1.55- SINGLE PRODUCT,Steel Toe Safety Shoes,https://dd3662-08.myshopify.com/products/818915744933740544,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,79.95,1,79.95,31.980000000000004,47.97,27.64,135.95671421544517,3.932611903590753,0.0,0,79.95,1,79.95,31.980000000000004,47.97,27.64,135.95671421544517,3.932611903590753,20.33,2124,61,2.871939736346516,1.639344262295082,100.0,0.0,20.33,60.0,60.0
11  FEBRUARY - Cozy Graphic Sweater - 1.56 - SINGLE PRODUCT,Cozy Graphic Sweater,https://dd3662-08.myshopify.com/products/799690288124657664,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-25.32,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-25.32,-100.0,0.0,25.32,3161,27,0.8541600759253402,0.0,0.0,0.0,,,
12 FEBRUARY- C20 ADS (Feb 10)- COLLECTION,"['Retro Winter Sweater', 'Plain Knitted Sweater', 'Multicolor Retro Winter Sweater', 'Cozy Retro Floral Sweater', 'Floral Retro Sweater', 'Retro Pine Tree Sweater', 'Geometric Retro Sweater', 'Multi Stripe Winter Sweater']",https://dd3662-08.myshopify.com/collections/c20-ads-collection-february-10,2025-02-12 00:00:00+00:00,2025-02-19 00:00:00+00:00,134.85000000000002,3,44.95000000000001,53.94000000000001,80.91000000000001,-3.499999999999986,-4.146428148323642,1.5975595308612727,0.0,0,134.85000000000002,3,44.95000000000001,53.94000000000001,80.91000000000001,-3.499999999999986,-4.146428148323642,1.5975595308612727,84.41,11924,197,1.652130157665213,1.5228426395939088,100.0,0.0,28.136666666666667,60.0,60.0
12 FEBRUARY- C21 ADS (Feb 10)- COLLECTION - RELAUNCH,"['Black Leather Fur-lined Winter Boots', 'Premium Leather Mid-calf Lace-up Boots', 'Comfy Fleece-lined Snow Ankle Boots', 'Comfy Leather Boots', 'Elegant Unisex Marten Boots', ""Comfortable Women's Leather Boots"", 'Mid-calf Lace-up Boots', 'Elegant Leather Boots', 'Soft Fur-lined Slippers', 'Stylish Winter Boots', 'Elite Ankle Boots', 'High Top Leather Lace-up Sneakers', 'Stylish and Warm Leather Snow Boots', 'Elegant High Heeled Ankle Boots', 'Soft Polar Fur-lined Boots', ""Women's High Top Leather Boots"", 'Fur-trim Winter Boots', 'Platform Sport Shoes', 'Elegant Warm Winter Boots']",https://dd3662-08.myshopify.com/collections/c21-ads-collection-february-10,2025-02-12 00:00:00+00:00,2025-02-19 00:00:00+00:00,1039.0,20,51.95,415.6,623.4,511.96999999999997,459.45436596966704,9.324239432827783,524.5,10,1563.5,30,52.11666666666667,625.4000000000001,938.0999999999999,826.6699999999998,741.8738221304853,14.031230368841424,111.43,12416,518,4.172036082474227,3.861003861003861,66.45346977934122,33.546530220658774,5.5715,60.0,60.0
13 FEBRUARY - Wool Coat - 1.66 - SINGLE PRODUCT,Short Button-down Wool Coat,https://dd3662-08.myshopify.com/products/811239043051290624,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-26.16,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-26.16,-100.0,0.0,26.16,3351,38,1.1339898537749926,0.0,0.0,0.0,,,
13 FEBRUARY - Four-piece Comfy Lounge Set - 1.58 - SINGLE PRODUCT,Four-piece Comfy Lounge Set,https://dd3662-08.myshopify.com/products/819323502224998400,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-25.58,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-25.58,-100.0,0.0,25.58,1664,26,1.5625,0.0,0.0,0.0,,,
13 FEBRUARY - Women's Tweed Button Jacket - 1.56 - SINGLE PRODUCT,Women's Tweed Button Jacket,https://dd3662-08.myshopify.com/products/819323498034888704,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-41.51,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-41.51,-100.0,0.0,41.51,4761,205,4.305818105440034,0.0,0.0,0.0,,,
13 FEBRUARY - Water and Windproof Winter Jacket - 1.84 - SINGLE PRODUCT,Water and Windproof Winter Jacket,https://dd3662-08.myshopify.com/products/807302659773038592,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,559.6,8,69.95,223.84000000000003,335.76,291.23,654.0085335728722,12.566808892881204,0.0,0,559.6,8,69.95,223.84000000000003,335.76,291.23,654.0085335728722,12.566808892881204,44.53,6250,166,2.656,4.819277108433735,100.0,0.0,5.56625,60.0,60.0
13 FEBRUARY - Breathable Sport Shoes - 1.55 - SINGLE PRODUCT,Breathable Sport Shoes,https://dd3662-08.myshopify.com/products/817347362673393664,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-26.2,-100.0,0.0,44.95,1,44.95,1,44.95,17.98,26.970000000000002,0.7700000000000031,2.9389312977099356,1.7156488549618323,26.2,3672,58,1.579520697167756,0.0,0.0,100.0,,,60.0
