,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%),Original Campaign,Product Count
21 JANUARY - Women's Cashmere Trench Coat - 1.59 - SINGLE PRODUCT,Women's Cashmere Trench Coat,https://dd3662-08.myshopify.com/products/811239040081723392,2025-01-21 00:00:00+00:00,2025-01-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-52.5792,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.5792,-100.0,0.0,52.5792,4471.0,258.0,5.770521136211138,0.0,0.0,0.0,,,,,
21 JANUARY - High Top Leather Lace-up Sneakers - 1.76 - SINGLE PRODUCT,High Top Leather Lace-up Sneakers,https://dd3662-08.myshopify.com/products/811239050944970752,2025-01-21 00:00:00+00:00,2025-01-28 00:00:00+00:00,189.8,4.0,47.45,75.92,113.88000000000001,-115.67519999999998,-50.391017062562725,0.8268163822906213,0.0,0.0,189.8,4.0,47.45,75.92,113.88000000000001,-115.67519999999998,-50.391017062562725,0.8268163822906213,229.55519999999999,35258.0,818.0,2.32004084179477,0.4889975550122249,100.0,0.0,57.388799999999996,-60.94583772391991,-60.94583772391991,,
21 JANUARY - Short Button-down Wool Coat - 1.61 - SINGLE PRODUCT,Short Button-down Wool Coat,https://dd3662-08.myshopify.com/products/811239043051290624,2025-01-21 00:00:00+00:00,2025-01-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-46.8864,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.8864,-100.0,0.0,46.8864,4643.0,179.0,3.8552659918156365,0.0,0.0,0.0,,,,,
22 JANUARY - Gentleman Button-down Cardigan - 1.68 - SINGLE PRODUCT,Gentleman Button-down Cardigan,https://dd3662-08.myshopify.com/products/811239049112059904,2025-01-22 00:00:00+00:00,2025-01-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-20.822400000000002,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.822400000000002,-100.0,0.0,20.822400000000002,2646.0,61.0,2.305366591080877,0.0,0.0,0.0,,,,,
22 JANUARY - Woven Leather Hobo Bag - 1.74 - SINGLE PRODUCT,Woven Leather Hobo Bag,https://dd3662-08.myshopify.com/products/811239037636444160,2025-01-22 00:00:00+00:00,2025-01-29 00:00:00+00:00,149.85000000000002,3.0,49.95000000000001,59.94000000000001,89.91000000000001,18.370800000000017,25.679347826086985,2.0946557971014497,0.0,0.0,149.85000000000002,3.0,49.95000000000001,59.94000000000001,89.91000000000001,18.370800000000017,25.679347826086985,2.0946557971014497,71.5392,9535.0,175.0,1.8353434714210803,1.7142857142857144,100.0,0.0,23.8464,12.25945945945947,12.25945945945947,,
23 JANUARY - Comfortable Leather Jacket - 1.55 - SINGLE PRODUCT,Comfortable Leather Jacket,https://dd3662-08.myshopify.com/products/774349603645423616,2025-01-23 00:00:00+00:00,2025-01-30 00:00:00+00:00,59.95,1.0,59.95,23.980000000000004,35.97,-81.198,-69.30049160180253,0.5116584733032911,0.0,0.0,59.95,1.0,59.95,23.980000000000004,35.97,-81.198,-69.30049160180253,0.5116584733032911,117.16799999999999,17448.0,304.0,1.742320036680422,0.3289473684210526,100.0,0.0,117.16799999999999,-135.44286905754794,-135.44286905754794,,
23 JANUARY - The Classic Overshirt - 1.59 - SINGLE PRODUCT,The Classic Overshirt,https://dd3662-08.myshopify.com/products/811997668095033344,2025-01-23 00:00:00+00:00,2025-01-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-22.0224,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0224,-100.0,0.0,22.0224,1813.0,30.0,1.654715940430226,0.0,0.0,0.0,,,,,
23 JANUARY - Double-breasted Wool Trench Coat - 1.57 - SINGLE PRODUCT,Double-breasted Wool Trench Coat,https://dd3662-08.myshopify.com/products/811997679608397824,2025-01-23 00:00:00+00:00,2025-01-30 00:00:00+00:00,169.85000000000002,3.0,56.616666666666674,67.94000000000001,101.91000000000001,-26.778000000000006,-20.808466989929133,1.319858883501181,0.0,0.0,169.85000000000002,3.0,56.616666666666674,67.94000000000001,101.91000000000001,-26.778000000000006,-20.808466989929133,1.319858883501181,128.68800000000002,12561.0,578.0,4.60154446302046,0.5190311418685121,100.0,0.0,42.89600000000001,-15.765675596114221,-15.765675596114221,,
24 JANUARY - Warm Casual Corduroy Pants - 1.60 - SINGLE PRODUCT,Warm Casual Corduroy Pants,https://dd3662-08.myshopify.com/products/811997677314113536,2025-01-24 00:00:00+00:00,2025-01-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-20.630399999999998,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.630399999999998,-100.0,0.0,20.630399999999998,1277.0,20.0,1.5661707126076743,0.0,0.0,0.0,,,,,
24 JANUARY - Self-Tie Bow Cardigan - 1.54 - SINGLE PRODUCT,Self-Tie Bow Cardigan,https://dd3662-08.myshopify.com/products/811997670653558784,2025-01-24 00:00:00+00:00,2025-01-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.6112,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.6112,-100.0,0.0,38.6112,3095.0,55.0,1.7770597738287561,0.0,0.0,0.0,,,,,
"7 FEBRUARY - Comfortable, Knitted, Soft Turtleneck Sweater - 1.58 - SINGLE PRODUCT","Comfortable, Knitted, Soft Turtleneck Sweater",https://dd3662-08.myshopify.com/products/768539614947311616,2025-02-07 00:00:00+00:00,2025-02-14 00:00:00+00:00,44.95,1.0,44.95,17.98,26.970000000000002,-83.8236,-75.65743869682004,0.4057093550529995,0.0,0.0,44.95,1.0,44.95,17.98,26.970000000000002,-83.8236,-75.65743869682004,0.4057093550529995,110.7936,8345.0,270.0,3.2354703415218693,0.3703703703703704,100.0,0.0,110.7936,-186.4818687430478,-186.4818687430478,,
7 FEBRUARY - Retro Square Heeled Pumps - 1.48 - SINGLE PRODUCT,Retro Square Heeled Pumps,https://dd3662-08.myshopify.com/products/809786630096289792,2025-02-07 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-37.4016,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.4016,-100.0,0.0,37.4016,4893.0,75.0,1.5328019619865114,0.0,0.0,0.0,,,,,
7 FEBRUARY - Cheerful Colorful Turtleneck - 1.45 - SINGLE PRODUCT,Cheerful Colorful Turtleneck,https://dd3662-08.myshopify.com/products/806626983235551232,2025-02-07 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.3904,-100.0,0.0,44.95,1.0,44.95,1.0,44.95,17.98,26.970000000000002,-11.420399999999997,-29.74806201550387,1.1708656330749354,38.3904,5776.0,149.0,2.579639889196676,0.0,0.0,100.0,,,-25.406896551724127,,
7 FEBRUARY - Distressed Leather Hobo Bag - 1.52 - SINGLE PRODUCT,Distressed Leather Hobo Bag,https://dd3662-08.myshopify.com/products/817343112861974528,2025-02-07 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-39.542399999999994,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.542399999999994,-100.0,0.0,39.542399999999994,5172.0,123.0,2.3781902552204177,0.0,0.0,0.0,,,,,
8 FEBRUARY - Distressed Leather Hobo Bag - 1.52 - SINGLE PRODUCT - RELAUNCHED,Distressed Leather Hobo Bag,https://dd3662-08.myshopify.com/products/817343112861974528,2025-02-08 00:00:00+00:00,2025-02-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.566399999999998,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.566399999999998,-100.0,0.0,24.566399999999998,3734.0,54.0,1.44617032672737,0.0,0.0,0.0,,,,,
8 FEBRUARY - Breathable Sport Shoes- 1.55 - SINGLE PRODUCT - RELAUNCHED,Breathable Sport Shoes,https://dd3662-08.myshopify.com/products/817347362673393664,2025-02-08 00:00:00+00:00,2025-02-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.136,-100.0,0.0,44.95,1.0,44.95,1.0,44.95,17.98,26.970000000000002,3.834000000000003,16.571576763485492,1.9428596127247582,23.136,2248.0,45.0,2.0017793594306053,0.0,0.0,100.0,,,8.529477196885434,,
10  FEBRUARY - Leopard Pattern Fur Jacket - 1.55- SINGLE PRODUCT,Leopard Pattern Fur Jacket,https://dd3662-08.myshopify.com/products/817819985249304576,2025-02-10 00:00:00+00:00,2025-02-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.4464,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.4464,-100.0,0.0,27.4464,1458.0,51.0,3.4979423868312756,0.0,0.0,0.0,,,,,
10  FEBRUARY - Modern and Ergonomic Casual Sneakers - 1.53- SINGLE PRODUCT,Modern and Ergonomic Casual Sneakers,https://dd3662-08.myshopify.com/products/817820087967809536,2025-02-10 00:00:00+00:00,2025-02-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-28.896,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.896,-100.0,0.0,28.896,3257.0,101.0,3.101013202333436,0.0,0.0,0.0,,,,,
10  FEBRUARY - Loose Casual Lounge Set - 1.57- SINGLE PRODUCT,Loose Casual Lounge Set,https://dd3662-08.myshopify.com/products/817820007248429056,2025-02-10 00:00:00+00:00,2025-02-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.3632,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.3632,-100.0,0.0,25.3632,5538.0,47.0,0.8486818345973276,0.0,0.0,0.0,,,,,
10  FEBRUARY - Vintage Floral Print Denim Flared Pants - 1.46- SINGLE PRODUCT - Copy,Vintage Floral Print Denim Flared Pants,https://dd3662-08.myshopify.com/products/817819996959801344,2025-02-10 00:00:00+00:00,2025-02-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.5936,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5936,-100.0,0.0,25.5936,1959.0,64.0,3.2669729453802963,0.0,0.0,0.0,,,,,
11  FEBRUARY - Comfortable and Stylish Button-down Sweater - 1.53- SINGLE PRODUCT,Comfortable and Stylish Button-down Sweater,https://dd3662-08.myshopify.com/products/817820065394065408,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-52.032000000000004,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.032000000000004,-100.0,0.0,52.032000000000004,5641.0,117.0,2.0741003368197126,0.0,0.0,0.0,,,,,
11  FEBRUARY - Steel Toe Safety Shoes - 1.55- SINGLE PRODUCT,Steel Toe Safety Shoes,https://dd3662-08.myshopify.com/products/818915744933740544,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,79.95,1.0,79.95,31.980000000000004,47.97,28.453200000000002,145.78824397442207,4.096470732907035,0.0,0.0,79.95,1.0,79.95,31.980000000000004,47.97,28.453200000000002,145.78824397442207,4.096470732907035,19.516799999999996,2124.0,61.0,2.871939736346516,1.639344262295082,100.0,0.0,19.516799999999996,35.58874296435272,35.58874296435272,,
11  FEBRUARY - Cozy Graphic Sweater - 1.56 - SINGLE PRODUCT,Cozy Graphic Sweater,https://dd3662-08.myshopify.com/products/799690288124657664,2025-02-11 00:00:00+00:00,2025-02-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.307199999999998,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.307199999999998,-100.0,0.0,24.307199999999998,3161.0,27.0,0.8541600759253402,0.0,0.0,0.0,,,,,
13 FEBRUARY - Wool Coat - 1.66 - SINGLE PRODUCT,Wool Coat,https://dd3662-08.myshopify.com/products/805472572324970496,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.113599999999998,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.113599999999998,-100.0,0.0,25.113599999999998,3351.0,38.0,1.1339898537749926,0.0,0.0,0.0,,,,,
13 FEBRUARY - Four-piece Comfy Lounge Set - 1.58 - SINGLE PRODUCT,Four-piece Comfy Lounge Set,https://dd3662-08.myshopify.com/products/819323502224998400,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.5568,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.5568,-100.0,0.0,24.5568,1664.0,26.0,1.5625,0.0,0.0,0.0,,,,,
13 FEBRUARY - Women's Tweed Button Jacket - 1.56 - SINGLE PRODUCT,Women's Tweed Button Jacket,https://dd3662-08.myshopify.com/products/819323498034888704,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-39.849599999999995,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.849599999999995,-100.0,0.0,39.849599999999995,4761.0,205.0,4.305818105440034,0.0,0.0,0.0,,,,,
13 FEBRUARY - Water and Windproof Winter Jacket - 1.84 - SINGLE PRODUCT,Water and Windproof Winter Jacket,https://dd3662-08.myshopify.com/products/807302659773038592,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,559.6,8.0,69.95,223.84000000000003,335.76,-93.66719999999998,-21.812125547706337,1.3031312408715612,0.0,0.0,559.6,8.0,69.95,223.84000000000003,335.76,-93.66719999999998,-21.812125547706337,1.3031312408715612,429.42719999999997,68284.0,1913.0,2.8015347665631776,0.4181913225300575,100.0,0.0,53.678399999999996,-16.73824160114367,-16.73824160114367,,
13 FEBRUARY - Breathable Sport Shoes - 1.55 - SINGLE PRODUCT,Breathable Sport Shoes,https://dd3662-08.myshopify.com/products/817347362673393664,2025-02-13 00:00:00+00:00,2025-02-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.151999999999997,-100.0,0.0,44.95,1.0,44.95,1.0,44.95,17.98,26.970000000000002,1.818000000000005,7.228053435114525,1.7871342239185755,25.151999999999997,3672.0,58.0,1.579520697167756,0.0,0.0,100.0,,,4.044493882091223,,
14 FEBRUARY - Elegant Heart Button Cardigan - 1.53 - SINGLE PRODUCT,Elegant Heart Button Cardigan,https://dd3662-08.myshopify.com/products/819312895992004608,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,49.95,1.0,49.95,19.980000000000004,29.97,-9.342000000000006,-23.763736263736277,1.2706043956043955,0.0,0.0,49.95,1.0,49.95,19.980000000000004,29.97,-9.342000000000006,-23.763736263736277,1.2706043956043955,39.312000000000005,3633.0,124.0,3.413157170382604,0.8064516129032258,100.0,0.0,39.312000000000005,-18.702702702702716,-18.702702702702716,,
14 FEBRUARY - Breathable Lightweight Casual Lace-up Shoes - 1.53 - SINGLE PRODUCT,Breathable Lightweight Casual Lace-up Shoes,https://dd3662-08.myshopify.com/products/819323505639161856,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.604799999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.604799999999997,-100.0,0.0,24.604799999999997,2352.0,55.0,2.33843537414966,0.0,0.0,0.0,,,,,
14 FEBRUARY - Warm Fleece Hat - 1.43 - SINGLE PRODUCT,Warm Fleece Hat,https://dd3662-08.myshopify.com/products/819597936269721600,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.2704,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.2704,-100.0,0.0,23.2704,3431.0,30.0,0.8743806470416788,0.0,0.0,0.0,,,,,
14 FEBRUARY - Women's Double-breasted Coat and Pants Set - 1.59 - SINGLE PRODUCT,Women's Double-breasted Coat and Pants Set,https://dd3662-08.myshopify.com/products/819597922369798144,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.2992,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.2992,-100.0,0.0,23.2992,2021.0,67.0,3.3151904997525974,0.0,0.0,0.0,,,,,
14 FEBRUARY - Elite Winter Clothing Set - 1.59 - SINGLE PRODUCT,Elite Winter Clothing Set,https://dd3662-08.myshopify.com/products/819597944205344768,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,719.5500000000001,9.0,79.95,287.82000000000005,431.73,52.80840000000006,13.936497681842383,1.8989416280307065,0.0,0.0,719.5500000000001,9.0,79.95,287.82000000000005,431.73,52.80840000000006,13.936497681842383,1.8989416280307065,378.92159999999996,57209.0,1782.0,3.114894509605132,0.5050505050505051,100.0,0.0,42.102399999999996,7.33908692933084,7.33908692933084,,
15 FEBRUARY - Crystal Star Dress - 1.57 - SINGLE PRODUCT,Crystal Star Dress,https://dd3662-08.myshopify.com/products/819597982113464320,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-36.038399999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.038399999999996,-100.0,0.0,36.038399999999996,6573.0,414.0,6.29849383842994,0.0,0.0,0.0,,,,,
15 FEBRUARY - Elegant Lace Jumpsuit - 1.57 - SINGLE PRODUCT,Elegant Lace Jumpsuit,https://dd3662-08.myshopify.com/products/820034790286688256,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,54.95,1.0,54.95,21.980000000000004,32.97,9.229199999999999,38.874848362312974,2.31458080603855,0.0,0.0,54.95,1.0,54.95,21.980000000000004,32.97,9.229199999999999,38.874848362312974,2.31458080603855,23.7408,1998.0,49.0,2.4524524524524525,2.0408163265306123,100.0,0.0,23.7408,16.79563239308462,16.79563239308462,,
15 FEBRUARY - Comfy Block-heeled Loafers - 1.57 - SINGLE PRODUCT,Comfy Block-heeled Loafers,https://dd3662-08.myshopify.com/products/820034782359453696,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.577599999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.577599999999997,-100.0,0.0,23.577599999999997,2152.0,43.0,1.9981412639405203,0.0,0.0,0.0,,,,,
15 FEBRUARY - Turtleneck Sweater and Pants Lounge Set - 1.57 - SINGLE PRODUCT,Turtleneck Sweater and Pants Lounge Set,https://dd3662-08.myshopify.com/products/820034779746402304,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.6064,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.6064,-100.0,0.0,23.6064,1568.0,63.0,4.017857142857143,0.0,0.0,0.0,,,,,
16 FEBRUARY - Casual Long Sleeve and Jogging Pants Set - 1.53 - SINGLE PRODUCT,Casual Long Sleeve and Jogging Pants Set,https://dd3662-08.myshopify.com/products/820034785123500032,2025-02-16 00:00:00+00:00,2025-02-23 00:00:00+00:00,49.95,1.0,49.95,19.980000000000004,29.97,-0.0779999999999994,-0.25958466453673923,1.6623402555910545,0.0,0.0,49.95,1.0,49.95,19.980000000000004,29.97,-0.0779999999999994,-0.25958466453673923,1.6623402555910545,30.048,2762.0,104.0,3.7653874004344683,0.9615384615384616,100.0,0.0,30.048,-0.15615615615615497,-0.15615615615615497,,
16 FEBRUARY - Smooth Silk Satin Shirt - 1.43 - SINGLE PRODUCT,Smooth Silk Satin Shirt,https://dd3662-08.myshopify.com/products/781264077212090368,2025-02-16 00:00:00+00:00,2025-02-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.766399999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.766399999999997,-100.0,0.0,25.766399999999997,2356.0,83.0,3.5229202037351444,0.0,0.0,0.0,,,,,
16 FEBRUARY - Trendy Leather Hobo Tote Bag - 1.48 - SINGLE PRODUCT,Trendy Leather Hobo Tote Bag [No Sales Found],,2025-02-16 00:00:00+00:00,2025-02-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.872,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.872,-100.0,0.0,25.872,2680.0,52.0,1.9402985074626864,0.0,0.0,0.0,,,,,
16 FEBRUARY - Safety Leather Ankle Boots - 1.59 - SINGLE PRODUCT,Safety Leather Ankle Boots,https://dd3662-08.myshopify.com/products/820034798490746880,2025-02-16 00:00:00+00:00,2025-02-23 00:00:00+00:00,359.7,6.0,59.949999999999996,143.88,215.82,40.76400000000001,23.286262681656165,2.0547710446942693,0.0,0.0,359.7,6.0,59.949999999999996,143.88,215.82,40.76400000000001,23.286262681656165,2.0547710446942693,175.05599999999998,26185.0,421.0,1.6077907198777928,1.4251781472684086,100.0,0.0,29.176,11.332777314428693,11.332777314428693,,
20 FEBRUARY - Elegant Warm Puffer Jacket - 1.52 - SINGLE PRODUCT,Elegant Warm Puffer Jacket,https://dd3662-08.myshopify.com/products/8-217047236429742e-17,2025-02-20 00:00:00+00:00,2025-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-41.731199999999994,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.731199999999994,-100.0,0.0,41.731199999999994,4568.0,101.0,2.2110332749562174,0.0,0.0,0.0,,,,,
20 FEBRUARY - Rainbow Striped Zip-up Jacket - 1.55 - SINGLE PRODUCT,Rainbow Striped Zip-up Jacket,https://dd3662-08.myshopify.com/products/8-217047313688822e-17,2025-02-20 00:00:00+00:00,2025-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.9232,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.9232,-100.0,0.0,23.9232,3161.0,51.0,1.6134134767478645,0.0,0.0,0.0,,,,,
20 FEBRUARY - Comfortable and Loose Pants - 1.47 - SINGLE PRODUCT,Comfortable and Loose Pants,https://dd3662-08.myshopify.com/products/8-217046352773775e-17,2025-02-20 00:00:00+00:00,2025-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.318399999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.318399999999997,-100.0,0.0,23.318399999999997,2553.0,38.0,1.4884449667058364,0.0,0.0,0.0,,,,,
20 FEBRUARY - Corduroy Button-down Jacket - 1.55 - SINGLE PRODUCT,Corduroy Button-down Jacket,https://dd3662-08.myshopify.com/products/8-217046460567388e-17,2025-02-20 00:00:00+00:00,2025-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.865599999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.865599999999997,-100.0,0.0,23.865599999999997,4948.0,43.0,0.8690379951495554,0.0,0.0,0.0,,,,,
20 FEBRUARY - Windproof Pants - 1.60 - SINGLE PRODUCT,Windproof Pants,https://dd3662-08.myshopify.com/products/8-217046372738662e-17,2025-02-20 00:00:00+00:00,2025-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.671999999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.671999999999997,-100.0,0.0,24.671999999999997,2358.0,53.0,2.247667514843087,0.0,0.0,0.0,,,,,
21 FEBRUARY - Casual Single Breasted Lapel Wool Coat - 1.51 - SINGLE PRODUCT,Casual Single Breasted Lapel Wool Coat,https://dd3662-08.myshopify.com/products/821704654386626560,2025-02-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,44.95,1.0,44.95,17.98,26.970000000000002,-15.538799999999998,-36.55431345980126,1.0574281090033124,0.0,0.0,44.95,1.0,44.95,17.98,26.970000000000002,-15.538799999999998,-36.55431345980126,1.0574281090033124,42.5088,3266.0,151.0,4.623392529087568,0.6622516556291391,100.0,0.0,42.5088,-34.569076751946604,-34.569076751946604,,
21 FEBRUARY - Casual Ergo Sneakers - 1.56 - SINGLE PRODUCT,Casual Ergo Sneakers,https://dd3662-08.myshopify.com/products/8-217047338099671e-17,2025-02-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.4944,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.4944,-100.0,0.0,27.4944,2557.0,83.0,3.245991396167384,0.0,0.0,0.0,,,,,
21 FEBRUARY - Heartbeat Sweater and Pants Set - 1.62 - SINGLE PRODUCT,Heartbeat Sweater and Pants Set,https://dd3662-08.myshopify.com/products/8-217046696916419e-17,2025-02-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-26.937599999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.937599999999996,-100.0,0.0,26.937599999999996,2050.0,43.0,2.097560975609756,0.0,0.0,0.0,,,,,
21 FEBRUARY - Casual Herringbone Pattern Trousers - 1.48 - SINGLE PRODUCT,Casual Herringbone Pattern Trousers,https://dd3662-08.myshopify.com/products/8-217047002387579e-17,2025-02-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-40.809599999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.809599999999996,-100.0,0.0,40.809599999999996,6535.0,111.0,1.6985462892119356,0.0,0.0,0.0,,,,,
24 FEBRUARY - Women's Comfortable Trail and Walking Shoes - 1.48 - SINGLE PRODUCT,Women's Comfortable Trail and Walking Shoes,https://dd3662-08.myshopify.com/products/8-217046491521352e-17,2025-02-24 00:00:00+00:00,2025-03-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-33.6096,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.6096,-100.0,0.0,33.6096,3720.0,92.0,2.4731182795698925,0.0,0.0,0.0,,,,,
24 FEBRUARY - Classic Leather Jacket - 1.48 - SINGLE PRODUCT,Classic Leather Jacket,https://dd3662-08.myshopify.com/products/822382575036137472,2025-02-24 00:00:00+00:00,2025-03-03 00:00:00+00:00,89.9,2.0,44.95,35.96,53.940000000000005,16.720800000000004,44.92519989682746,2.4154199982804574,0.0,0.0,89.9,2.0,44.95,35.96,53.940000000000005,16.720800000000004,44.92519989682746,2.4154199982804574,37.2192,5553.0,114.0,2.0529443544030253,1.7543859649122806,100.0,0.0,18.6096,18.599332591768636,18.599332591768636,,
24 FEBRUARY -Urban Corduroy Shoulder Tote Bag - 1.48 - SINGLE PRODUCT,Urban Corduroy Shoulder Tote Bag,https://dd3662-08.myshopify.com/products/8-2208047102532e-17,2025-02-24 00:00:00+00:00,2025-03-03 00:00:00+00:00,44.95,1.0,44.95,17.98,26.970000000000002,-6.073199999999996,-18.379575828006963,1.3603404028665507,0.0,0.0,44.95,1.0,44.95,17.98,26.970000000000002,-6.073199999999996,-18.379575828006963,1.3603404028665507,33.0432,4243.0,89.0,2.0975724723073297,1.1235955056179776,100.0,0.0,33.0432,-13.511012235817565,-13.511012235817565,,
